Year,WTI,OPEC
1986,15.05,13.53
1987,19.2,17.73
1988,15.97,14.24
1989,19.64,17.31
1990,24.53,22.26
1991,21.54,18.62
1992,20.58,18.44
1993,18.43,16.33
1994,17.2,15.53
1995,18.43,16.86
1996,22.12,20.29
1997,20.61,18.86
1998,14.42,12.28
1999,19.34,17.44
2000,30.38,27.6
2001,25.98,23.12
2002,26.18,24.36
2003,31.08,28.1
2004,41.51,36.05
2005,56.64,50.59
2006,66.05,61
2007,72.34,69.04
2008,99.67,94.1
2009,61.95,60.86
2010,79.48,77.38
2011,94.88,107.46
2012,94.05,109.45
2013,97.98,105.87
2014,93.17,96.29
2015,48.66,49.49
2016,43.29,40.68
